TOA5,43467,CR800,43467,CR800.Std.32.02,CPU:AWI_V2.1_Katrin.CR8,5929,OperatorView,,,,,,,,,,,,,,
TIMESTAMP,RECORD,Counter,DepthCm,BattVolts,latitude_a,latitude_b,Longitude_a,Longitude_b,fix_quality,nmbr_satellites,HDOP,altitudeB,DepthVolts,LatitudeDDDDD,LongitudeDDDDD,month,dayofmonth,hourofday,minutes,seconds,microseconds
TS,RN,,,,degrees,minutes,degrees,minutes,unitless,,,,,,,,,,,,
,,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp
2019-12-19 07:01:24.19,9527,100412,24.85,12.5,86,40.9247,112,50.2053,1,10,0.8,5,1.597,0.6820784,0.836755,12,19,7,1,23,500000
2019-12-19 07:01:30.73,9528,100413,27.69,12.5,86,40.925,112,50.1846,1,10,0.8,4.8,1.779,0.6820833,0.83641,12,19,7,1,30,50000
2019-12-19 07:01:36.87,9529,100414,28.15,12.5,86,40.9254,112,50.1729,1,10,0.8,4.6,1.808,0.68209,0.836215,12,19,7,1,36,190000
2019-12-19 07:01:41.43,9530,100415,37.82,12.5,86,40.9257,112,50.1547,1,10,0.8,4.6,2.428,0.682095,0.8359117,12,19,7,1,40,750000
2019-12-19 07:01:45.81,9531,100416,39.64,12.5,86,40.926,112,50.1443,1,10,0.8,5.3,2.545,0.6821,0.8357383,12,19,7,1,45,130000
2019-12-19 07:01:51.01,9532,100417,36.91,12.5,86,40.9263,112,50.1187,1,10,0.8,4.9,2.37,0.682105,0.8353117,12,19,7,1,50,330000
2019-12-19 07:01:57.18,9533,100418,15.41,12.5,86,40.9264,112,50.0983,1,10,0.8,4.6,0.992,0.6821066,0.8349717,12,19,7,1,56,500000
2019-12-19 07:02:01.52,9534,100419,26.9,12.5,86,40.9265,112,50.0888,1,10,0.8,4.5,1.728,0.6821083,0.8348133,12,19,7,2,0,840000
2019-12-19 07:02:06.23,9535,100420,22.18,12.49,86,40.927,112,50.0673,1,10,0.8,5,1.425,0.6821166,0.834455,12,19,7,2,5,550000
2019-12-19 07:02:10.57,9536,100421,18.94,12.49,86,40.9271,112,50.0507,1,10,0.8,4.7,1.218,0.6821183,0.8341783,12,19,7,2,9,890000
2019-12-19 07:02:14.79,9537,100422,18.82,12.49,86,40.9272,112,50.0339,1,10,0.8,4.3,1.21,0.68212,0.8338984,12,19,7,2,14,110000
2019-12-19 07:02:19.07,9538,100423,21.78,12.49,86,40.9274,112,50.011,1,10,0.8,4.1,1.4,0.6821233,0.8335167,12,19,7,2,18,390000
2019-12-19 07:02:23.37,9539,100424,27.41,12.49,86,40.9276,112,49.9959,1,10,0.8,4.3,1.761,0.6821267,0.833265,12,19,7,2,22,690000
2019-12-19 07:02:27.79,9540,100425,26.78,12.49,86,40.9277,112,49.981,1,10,0.8,4.4,1.721,0.6821283,0.8330166,12,19,7,2,27,100000
2019-12-19 07:02:34.97,9541,100426,16.43,12.49,86,40.9278,112,49.9526,1,10,0.8,4.4,1.057,0.68213,0.8325433,12,19,7,2,34,290000
2019-12-19 07:02:39.32,9542,100427,11.2,12.49,86,40.9278,112,49.9437,1,10,0.8,4.6,0.722,0.68213,0.832395,12,19,7,2,38,640000
2019-12-19 07:02:43.4,9543,100428,14.78,12.49,86,40.9279,112,49.9253,1,10,0.8,4.3,0.952,0.6821317,0.8320883,12,19,7,2,42,720000
2019-12-19 07:02:47.44,9544,100429,37.13,12.49,86,40.928,112,49.909,1,10,0.8,4.2,2.384,0.6821334,0.8318166,12,19,7,2,46,760000
2019-12-19 07:02:51.57,9545,100430,25.99,12.49,86,40.9283,112,49.8929,1,10,0.8,3.9,1.67,0.6821383,0.8315483,12,19,7,2,50,890000
2019-12-19 07:02:56,9546,100431,22.35,12.49,86,40.9284,112,49.8699,1,10,0.8,3.9,1.436,0.68214,0.831165,12,19,7,2,55,320000
2019-12-19 07:03:00.2,9547,100432,21.84,12.49,86,40.9285,112,49.8514,1,10,0.8,3.8,1.404,0.6821417,0.8308566,12,19,7,2,59,520000
2019-12-19 07:03:04.22,9548,100433,21.44,12.49,86,40.9285,112,49.8339,1,10,0.8,3.6,1.378,0.6821417,0.830565,12,19,7,3,3,530000
2019-12-19 07:03:09.04,9549,100434,22.12,12.49,86,40.9284,112,49.8137,1,10,0.8,3.6,1.422,0.68214,0.8302284,12,19,7,3,8,360000
2019-12-19 07:03:13.97,9550,100435,25.31,12.48,86,40.9282,112,49.7901,1,10,0.8,3.7,1.626,0.6821366,0.829835,12,19,7,3,13,290000
2019-12-19 07:03:18.59,9551,100436,24.74,12.49,86,40.9283,112,49.7766,1,10,0.8,3.7,1.59,0.6821383,0.82961,12,19,7,3,17,910000
2019-12-19 07:03:26.45,9552,100437,17.91,12.48,86,40.9282,112,49.754,1,10,0.8,3.8,1.152,0.6821366,0.8292334,12,19,7,3,25,770000
2019-12-19 07:03:31.14,9553,100438,14.84,12.49,86,40.9282,112,49.7383,1,10,0.8,3.8,0.955,0.6821366,0.8289717,12,19,7,3,30,460000
2019-12-19 07:03:35.27,9554,100439,13.42,12.48,86,40.9284,112,49.7235,1,10,0.8,3.6,0.864,0.68214,0.828725,12,19,7,3,34,590000
2019-12-19 07:03:42.77,9555,100440,18.48,12.48,86,40.9287,112,49.7094,1,10,0.8,3.8,1.188,0.682145,0.82849,12,19,7,3,42,90000
2019-12-19 07:03:47.55,9556,100441,17.8,12.47,86,40.9288,112,49.6907,1,10,0.8,4.1,1.145,0.6821466,0.8281783,12,19,7,3,46,870000
2019-12-19 07:03:51.98,9557,100442,23.14,12.48,86,40.9289,112,49.6731,1,10,0.8,4.5,1.487,0.6821483,0.827885,12,19,7,3,51,300000
2019-12-19 07:03:57.96,9558,100443,29.4,12.48,86,40.929,112,49.6491,1,10,0.8,4.2,1.888,0.68215,0.827485,12,19,7,3,57,280000
2019-12-19 07:04:02.37,9559,100444,23.37,12.46,86,40.929,112,49.6328,1,10,0.8,4.1,1.502,0.68215,0.8272134,12,19,7,4,1,690000
2019-12-19 07:04:08.13,9560,100445,18.14,12.46,86,40.9287,112,49.6005,1,10,0.8,3,1.167,0.682145,0.826675,12,19,7,4,7,450000
2019-12-19 07:04:12.73,9561,100446,23.49,12.47,86,40.9287,112,49.5909,1,10,0.8,3.4,1.509,0.682145,0.826515,12,19,7,4,12,50000
2019-12-19 07:04:17.1,9562,100447,23.49,12.47,86,40.9287,112,49.5669,1,10,0.8,3.3,1.509,0.682145,0.826115,12,19,7,4,16,420000
2019-12-19 07:04:23.17,9563,100448,17.23,12.47,86,40.9287,112,49.5446,1,9,0.8,2.9,1.108,0.682145,0.8257434,12,19,7,4,22,490000
2019-12-19 07:04:56.09,9564,100449,18.94,12.48,86,40.929,112,49.53,1,10,0.8,3.3,1.218,0.68215,0.8254999,12,19,7,4,55,410000
2019-12-19 07:05:01.01,9565,100450,42.48,12.46,86,40.9291,112,49.5085,1,10,0.8,3.2,2.727,0.6821517,0.8251417,12,19,7,5,0,330000
2019-12-19 07:05:10.28,9566,100451,35.94,12.47,86,40.9289,112,49.4903,1,10,0.8,3.2,2.308,0.6821483,0.8248383,12,19,7,5,9,600000
2019-12-19 07:05:16.76,9567,100452,21.21,12.45,86,40.9287,112,49.4797,1,10,0.8,3.2,1.363,0.682145,0.8246616,12,19,7,5,16,70000
2019-12-19 07:05:20.85,9568,100453,20.41,12.45,86,40.9287,112,49.4639,1,10,0.8,3,1.312,0.682145,0.8243983,12,19,7,5,20,170000
2019-12-19 07:05:25.55,9569,100454,16.49,12.45,86,40.9289,112,49.4403,1,10,0.8,2.8,1.061,0.6821483,0.824005,12,19,7,5,24,870000
2019-12-19 07:05:30.21,9570,100455,15.98,12.45,86,40.929,112,49.4173,1,10,0.8,2.6,1.028,0.68215,0.8236217,12,19,7,5,29,530000
2019-12-19 07:05:35.41,9571,100456,25.08,12.46,86,40.9287,112,49.3968,1,10,0.8,2.3,1.611,0.682145,0.82328,12,19,7,5,34,730000
2019-12-19 07:05:39.71,9572,100457,27.52,12.46,86,40.9284,112,49.3847,1,10,0.8,2.4,1.768,0.68214,0.8230783,12,19,7,5,39,30000
2019-12-19 07:05:45.2,9573,100458,17,12.44,86,40.9284,112,49.3729,1,10,0.8,2.3,1.094,0.68214,0.8228816,12,19,7,5,44,520000
2019-12-19 07:05:49.53,9574,100459,30.54,12.45,86,40.9286,112,49.3528,1,10,0.8,2.2,1.961,0.6821434,0.8225466,12,19,7,5,48,850000
2019-12-19 07:05:53.95,9575,100460,38.22,12.47,86,40.9282,112,49.3304,1,10,0.8,2,2.454,0.6821366,0.8221733,12,19,7,5,53,270000
2019-12-19 07:05:58.85,9576,100461,45.67,12.47,86,40.9278,112,49.3108,1,10,0.8,3,2.931,0.68213,0.8218466,12,19,7,5,58,170000
2019-12-19 07:06:03.27,9577,100462,51.92,12.46,86,40.9271,112,49.2938,1,10,0.8,3.2,3.332,0.6821183,0.8215634,12,19,7,6,2,590000
2019-12-19 07:06:09.31,9578,100463,17.57,12.47,86,40.9262,112,49.2808,1,10,0.8,3.5,1.13,0.6821034,0.8213466,12,19,7,6,8,630000
2019-12-19 07:06:15.33,9579,100464,36.74,12.47,86,40.9256,112,49.2693,1,10,0.8,3.6,2.359,0.6820934,0.821155,12,19,7,6,14,650000
2019-12-19 07:06:20.06,9580,100465,60.57,12.47,86,40.9245,112,49.2541,1,10,0.8,3.3,3.886,0.682075,0.8209017,12,19,7,6,19,380000
2019-12-19 07:06:26.21,9581,100466,48.74,12.47,86,40.9233,112,49.242,1,10,0.8,3,3.128,0.682055,0.8207,12,19,7,6,25,530000
2019-12-19 07:06:30.49,9582,100467,38.22,12.48,86,40.9227,112,49.2383,1,10,0.8,2.9,2.454,0.682045,0.8206383,12,19,7,6,29,810000
2019-12-19 07:06:34.71,9583,100468,57.27,12.47,86,40.922,112,49.2298,1,10,0.8,3.2,3.675,0.6820334,0.8204966,12,19,7,6,34,30000
2019-12-19 07:06:39.56,9584,100469,54.88,12.47,86,40.9208,112,49.2152,1,10,0.8,3.2,3.522,0.6820134,0.8202533,12,19,7,6,38,880000
2019-12-19 07:08:06.69,9586,100471,19.51,12.45,86,40.9194,112,49.1673,1,10,0.8,4.1,1.254,0.68199,0.819455,12,19,7,8,6,10000
2019-12-19 07:08:10.87,9587,100472,16.21,12.45,86,40.9189,112,49.1626,1,10,0.8,4,1.043,0.6819817,0.8193767,12,19,7,8,10,180000
2019-12-19 07:08:14.5,9588,100473,20.36,12.45,86,40.918,112,49.1509,1,10,0.8,3.8,1.309,0.6819666,0.8191817,12,19,7,8,13,820000
2019-12-19 07:08:18.26,9589,100474,25.99,12.45,86,40.9168,112,49.1391,1,10,0.8,3.3,1.67,0.6819467,0.818985,12,19,7,8,17,580000
2019-12-19 07:08:22.26,9590,100475,31.73,12.44,86,40.916,112,49.1273,1,10,0.8,3.3,2.038,0.6819334,0.8187883,12,19,7,8,21,580000
2019-12-19 07:08:26.2,9591,100476,34.07,12.45,86,40.9153,112,49.1152,1,10,0.8,3.2,2.188,0.6819217,0.8185866,12,19,7,8,25,520000
2019-12-19 07:08:30.35,9592,100477,27.35,12.44,86,40.9145,112,49.1014,1,10,0.8,2.7,1.757,0.6819084,0.8183566,12,19,7,8,29,670000
2019-12-19 07:08:34.91,9593,100478,35.89,12.45,86,40.9134,112,49.0851,1,10,0.8,2.6,2.304,0.6818899,0.818085,12,19,7,8,34,230000
2019-12-19 07:08:39.05,9594,100479,35.89,12.45,86,40.9127,112,49.0723,1,10,0.8,2.9,2.304,0.6818783,0.8178717,12,19,7,8,38,370000
2019-12-19 07:08:43.32,9595,100480,9.72,12.43,86,40.9118,112,49.0598,1,10,0.8,3.1,0.627,0.6818634,0.8176633,12,19,7,8,42,640000
2019-12-19 07:08:46.86,9596,100481,26.56,12.45,86,40.9115,112,49.0551,1,10,0.8,3.1,1.706,0.6818583,0.817585,12,19,7,8,46,180000
2019-12-19 07:08:50.92,9597,100482,29.97,12.45,86,40.9103,112,49.038,1,10,0.8,2.9,1.925,0.6818383,0.8173,12,19,7,8,50,230000
2019-12-19 07:08:54.81,9598,100483,25.19,12.45,86,40.9099,112,49.0313,1,10,0.8,3.3,1.619,0.6818317,0.8171883,12,19,7,8,54,130000
2019-12-19 07:08:58.86,9599,100484,26.79,12.44,86,40.909,112,49.0192,1,10,0.8,3.7,1.721,0.6818167,0.8169867,12,19,7,8,58,180000
2019-12-19 07:09:02.79,9600,100485,25.99,12.44,86,40.9082,112,49.0084,1,10,0.8,3.9,1.67,0.6818034,0.8168066,12,19,7,9,2,110000
2019-12-19 07:09:06.75,9601,100486,26.33,12.45,86,40.9073,112,48.9977,1,10,0.8,3.9,1.692,0.6817883,0.8166283,12,19,7,9,6,70000
2019-12-19 07:09:10.63,9602,100487,25.82,12.45,86,40.9065,112,48.9849,1,10,0.8,3.9,1.659,0.681775,0.816415,12,19,7,9,9,950000
2019-12-19 07:09:16.11,9603,100488,27.01,12.44,86,40.9051,112,48.9676,1,10,0.8,4.1,1.735,0.6817517,0.8161267,12,19,7,9,15,430000
2019-12-19 07:09:20,9604,100489,21.21,12.44,86,40.9044,112,48.9583,1,10,0.8,3.9,1.364,0.68174,0.8159717,12,19,7,9,19,320000
2019-12-19 07:09:23.81,9605,100490,16.21,12.45,86,40.9037,112,48.9481,1,10,0.8,3.9,1.043,0.6817284,0.8158017,12,19,7,9,23,130000
2019-12-19 07:09:27.53,9606,100491,14.84,12.44,86,40.9026,112,48.9358,1,10,0.8,3.6,0.955,0.68171,0.8155966,12,19,7,9,26,850000
2019-12-19 07:09:31.37,9607,100492,18.6,12.44,86,40.9017,112,48.9171,1,10,0.8,4.3,1.196,0.681695,0.815285,12,19,7,9,30,690000
2019-12-19 07:09:35.25,9608,100493,19.73,12.44,86,40.9008,112,48.8998,1,10,0.8,5.3,1.269,0.68168,0.8149966,12,19,7,9,34,570000
2019-12-19 07:09:41.82,9609,100494,21.27,12.45,86,40.8995,112,48.8878,1,10,0.8,5,1.367,0.6816584,0.8147966,12,19,7,9,41,140000
2019-12-19 07:09:47.86,9610,100495,19.51,12.45,86,40.8991,112,48.8786,1,10,0.8,5.2,1.254,0.6816517,0.8146434,12,19,7,9,47,180000
2019-12-19 07:09:51.95,9611,100496,22.18,12.44,86,40.8981,112,48.8661,1,10,0.8,5.4,1.426,0.681635,0.814435,12,19,7,9,51,270000
2019-12-19 07:09:56.35,9612,100497,23.09,12.45,86,40.8973,112,48.8567,1,10,0.8,5.2,1.484,0.6816217,0.8142784,12,19,7,9,55,670000
2019-12-19 07:10:00.28,9613,100498,32.25,12.45,86,40.8966,112,48.8482,1,10,0.8,4.9,2.071,0.68161,0.8141367,12,19,7,9,59,600000
2019-12-19 07:10:05.05,9614,100499,29.46,12.44,86,40.8955,112,48.8392,1,10,0.8,4.6,1.892,0.6815917,0.8139866,12,19,7,10,4,370000
2019-12-19 07:10:08.98,9615,100500,32.7,12.44,86,40.8947,112,48.8257,1,10,0.8,4.3,2.1,0.6815783,0.8137617,12,19,7,10,8,300000
2019-12-19 07:10:13.16,9616,100501,29.35,12.44,86,40.8937,112,48.8137,1,10,0.8,4.1,1.885,0.6815617,0.8135617,12,19,7,10,12,480000
2019-12-19 07:10:17.66,9617,100502,31.11,12.45,86,40.8929,112,48.7998,1,10,0.8,3.7,1.998,0.6815483,0.81333,12,19,7,10,16,980000
2019-12-19 07:10:21.79,9618,100503,20.93,12.45,86,40.8922,112,48.7914,1,10,0.8,3.4,1.345,0.6815366,0.8131901,12,19,7,10,21,110000
2019-12-19 07:10:25.65,9619,100504,23.26,12.45,86,40.8913,112,48.7819,1,10,0.8,3.1,1.495,0.6815217,0.8130316,12,19,7,10,24,970000
2019-12-19 07:10:29.34,9620,100505,29.29,12.45,86,40.8903,112,48.7718,1,10,0.8,2.7,1.881,0.681505,0.8128634,12,19,7,10,28,660000
2019-12-19 07:10:35.79,9621,100506,14.73,12.45,86,40.8891,112,48.7575,1,10,0.8,1.9,0.948,0.681485,0.812625,12,19,7,10,35,110000
2019-12-19 07:10:39.77,9622,100507,23.26,12.45,86,40.8884,112,48.7495,1,10,0.8,0.9,1.495,0.6814734,0.8124917,12,19,7,10,39,90000
2019-12-19 07:10:43.27,9623,100508,21.16,12.45,86,40.8875,112,48.7389,1,10,0.8,0.8,1.36,0.6814583,0.812315,12,19,7,10,42,590000
2019-12-19 07:10:46.99,9624,100509,20.3,12.45,86,40.8866,112,48.7293,1,10,0.8,0.6,1.305,0.6814434,0.812155,12,19,7,10,46,310000
2019-12-19 07:10:50.63,9625,100510,15.81,12.45,86,40.8859,112,48.7225,1,10,0.8,0.4,1.017,0.6814317,0.8120417,12,19,7,10,49,950000
2019-12-19 07:10:54.33,9626,100511,15.98,12.45,86,40.8849,112,48.7148,1,10,0.8,0.2,1.028,0.681415,0.8119134,12,19,7,10,53,650000
2019-12-19 07:10:58.23,9627,100512,19.62,12.45,86,40.8839,112,48.7157,1,10,0.8,0,1.262,0.6813983,0.8119283,12,19,7,10,57,550000
2019-12-19 07:11:02.16,9628,100513,21.21,12.44,86,40.883,112,48.7181,1,10,0.8,0,1.364,0.6813833,0.8119684,12,19,7,11,1,480000
2019-12-19 07:11:05.96,9629,100514,19.34,12.45,86,40.882,112,48.7241,1,10,0.8,-0.3,1.243,0.6813667,0.8120683,12,19,7,11,5,280000
2019-12-19 07:11:09.94,9630,100515,19.85,12.44,86,40.8813,112,48.7362,1,10,0.8,-0.5,1.276,0.681355,0.81227,12,19,7,11,9,260000
2019-12-19 07:11:13.91,9631,100516,20.98,12.45,86,40.8806,112,48.7526,1,10,0.8,-0.8,1.349,0.6813433,0.8125434,12,19,7,11,13,220000
2019-12-19 07:11:17.84,9632,100517,13.99,12.45,86,40.88,112,48.7602,1,10,0.8,-1,0.901,0.6813334,0.81267,12,19,7,11,17,150000
2019-12-19 07:11:21.3,9633,100518,12.23,12.45,86,40.879,112,48.7695,1,10,0.8,-1.1,0.788,0.6813166,0.812825,12,19,7,11,20,620000
2019-12-19 07:11:25.11,9634,100519,18.71,12.44,86,40.8782,112,48.7796,1,10,0.8,-1.2,1.203,0.6813034,0.8129933,12,19,7,11,24,430000
2019-12-19 07:11:28.8,9635,100520,18.94,12.45,86,40.8776,112,48.7829,1,10,0.8,-1.4,1.218,0.6812934,0.8130484,12,19,7,11,28,120000
2019-12-19 07:11:32.33,9636,100521,14.39,12.45,86,40.8766,112,48.7922,1,10,0.8,-1.5,0.926,0.6812766,0.8132033,12,19,7,11,31,650000
2019-12-19 07:11:35.79,9637,100522,23.2,12.45,86,40.8759,112,48.7943,1,10,0.8,-1.7,1.491,0.681265,0.8132383,12,19,7,11,35,110000
2019-12-19 07:11:39.72,9638,100523,38.1,12.44,86,40.8753,112,48.798,1,10,0.8,-1.9,2.446,0.681255,0.8133,12,19,7,11,39,40000
2019-12-19 07:11:44.71,9639,100524,40.78,12.44,86,40.8743,112,48.8039,1,10,0.8,-2.1,2.618,0.6812383,0.8133984,12,19,7,11,44,20000
2019-12-19 07:11:49.09,9640,100525,52.15,12.44,86,40.8737,112,48.8065,1,10,0.8,-2.3,3.347,0.6812283,0.8134416,12,19,7,11,48,400000
2019-12-19 07:11:57.04,9641,100526,45.16,12.43,86,40.8727,112,48.8094,1,10,0.8,-2.8,2.899,0.6812117,0.81349,12,19,7,11,56,360000
2019-12-19 07:12:02.4,9642,100527,38.62,12.44,86,40.8722,112,48.8098,1,10,0.8,-2.6,2.479,0.6812033,0.8134966,12,19,7,12,1,720000
2019-12-19 07:12:09.23,9643,100528,21.21,12.45,86,40.8708,112,48.8145,1,10,0.8,-3.4,1.364,0.68118,0.813575,12,19,7,12,8,540000
2019-12-19 07:12:13.55,9644,100529,20.81,12.44,86,40.8703,112,48.8162,1,10,0.8,-3.1,1.338,0.6811717,0.8136034,12,19,7,12,12,870000
2019-12-19 07:12:19.36,9645,100530,9.44,12.44,86,40.8689,112,48.8154,1,10,0.8,-3.5,0.609,0.6811483,0.81359,12,19,7,12,18,680000
2019-12-19 07:12:24.28,9646,100531,8.47,12.44,86,40.8682,112,48.8175,1,10,0.8,-3.1,0.547,0.6811366,0.813625,12,19,7,12,23,600000
2019-12-19 07:12:29.54,9647,100532,8.41,12.44,86,40.8675,112,48.823,1,10,0.8,-3,0.543,0.681125,0.8137167,12,19,7,12,28,850000
2019-12-19 07:12:33.75,9648,100533,15.18,12.44,86,40.867,112,48.8235,1,10,0.8,-3.1,0.977,0.6811167,0.813725,12,19,7,12,33,70000
2019-12-19 07:12:38.48,9649,100534,27.35,12.44,86,40.8657,112,48.8268,1,10,0.8,-3,1.757,0.681095,0.81378,12,19,7,12,37,800000
2019-12-19 07:12:43.64,9650,100535,33.73,12.43,86,40.8648,112,48.8262,1,10,0.8,-2.9,2.166,0.68108,0.81377,12,19,7,12,42,960000
2019-12-19 07:12:50.62,9651,100536,25.88,12.44,86,40.8631,112,48.8234,1,10,0.8,-3.5,1.663,0.6810516,0.8137234,12,19,7,12,49,940000
2019-12-19 07:12:55.33,9652,100537,29.57,12.44,86,40.8625,112,48.8246,1,10,0.8,-3.3,1.9,0.6810417,0.8137434,12,19,7,12,54,650000
2019-12-19 07:13:00.78,9653,100538,43.05,12.43,86,40.8614,112,48.8266,1,10,0.8,-3.4,2.764,0.6810234,0.8137766,12,19,7,13,0,100000
2019-12-19 07:13:09.47,9654,100539,23.43,12.43,86,40.8604,112,48.8375,1,10,0.8,-4,1.506,0.6810066,0.8139583,12,19,7,13,8,790000
2019-12-19 07:13:14.33,9655,100540,39.07,12.44,86,40.8596,112,48.8414,1,10,0.8,-4,2.508,0.6809933,0.8140233,12,19,7,13,13,650000
2019-12-19 07:13:18.95,9656,100541,38.28,12.43,86,40.8587,112,48.8541,1,10,0.8,-4.1,2.457,0.6809783,0.814235,12,19,7,13,18,270000
2019-12-19 07:13:24.62,9657,100542,15.41,12.43,86,40.8578,112,48.8661,1,10,0.8,-4.3,0.992,0.6809634,0.814435,12,19,7,13,23,940000
2019-12-19 07:13:28.77,9658,100543,24.17,12.44,86,40.8575,112,48.8688,1,10,0.8,-4,1.553,0.6809583,0.81448,12,19,7,13,28,80000
2019-12-19 07:13:33.36,9659,100544,52.72,12.43,86,40.8564,112,48.8826,1,10,0.8,-4.1,3.383,0.68094,0.81471,12,19,7,13,32,680000
2019-12-19 07:13:39.95,9660,100545,18.03,12.43,86,40.8555,112,48.8973,1,10,0.8,-4.5,1.159,0.680925,0.814955,12,19,7,13,39,270000
2019-12-19 07:13:44.5,9661,100546,40.89,12.43,86,40.855,112,48.9023,1,10,0.8,-4.3,2.625,0.6809166,0.8150384,12,19,7,13,43,820000
2019-12-19 07:14:16.32,9662,100547,22.86,12.44,86,40.8542,112,48.9208,1,10,0.8,-4.4,1.469,0.6809033,0.8153466,12,19,7,14,15,640000
2019-12-19 07:14:21.33,9663,100548,21.84,12.44,86,40.854,112,48.9337,1,10,0.8,-4,1.404,0.6809,0.8155617,12,19,7,14,20,650000
2019-12-19 07:14:25.95,9664,100549,19.62,12.43,86,40.8538,112,48.9534,1,10,0.8,-4,1.261,0.6808967,0.81589,12,19,7,14,25,270000
2019-12-19 07:14:32.53,9665,100550,11.71,12.43,86,40.8535,112,48.9744,1,10,0.8,-4.5,0.755,0.6808917,0.81624,12,19,7,14,31,840000
2019-12-19 07:14:36.93,9666,100551,35.03,12.43,86,40.8532,112,48.9827,1,10,0.8,-4.3,2.25,0.6808866,0.8163783,12,19,7,14,36,250000
2019-12-19 07:14:42.55,9667,100552,12.62,12.43,86,40.853,112,49.001,1,10,0.8,-4.6,0.813,0.6808834,0.8166834,12,19,7,14,41,870000
2019-12-19 07:14:47.34,9668,100553,25.36,12.44,86,40.853,112,49.0159,1,10,0.8,-4.5,1.63,0.6808834,0.8169317,12,19,7,14,46,660000
2019-12-19 07:14:51.98,9669,100554,41.23,12.44,86,40.8527,112,49.0359,1,10,0.8,-4.7,2.647,0.6808783,0.817265,12,19,7,14,51,300000
2019-12-19 07:14:56.66,9670,100555,49.14,12.43,86,40.8523,112,49.0508,1,10,0.8,-4.7,3.154,0.6808717,0.8175134,12,19,7,14,55,980000
2019-12-19 07:15:00.77,9671,100556,40.04,12.44,86,40.8518,112,49.0621,1,10,0.8,-4.8,2.57,0.6808634,0.8177016,12,19,7,15,0,90000
2019-12-19 07:15:07.91,9672,100557,17.34,12.44,86,40.8512,112,49.0855,1,10,0.8,-5.1,1.116,0.6808533,0.8180916,12,19,7,15,7,230000
2019-12-19 07:15:12.31,9673,100558,50.33,12.43,86,40.8507,112,49.0963,1,10,0.8,-5.1,3.23,0.680845,0.8182716,12,19,7,15,11,630000
2019-12-19 07:15:17.06,9674,100559,53.86,12.42,86,40.85,112,49.1116,1,10,0.8,-5.2,3.456,0.6808333,0.8185266,12,19,7,15,16,380000
2019-12-19 07:15:23.54,9675,100560,62.05,12.42,86,40.8494,112,49.1259,1,10,0.8,-5.4,3.981,0.6808234,0.818765,12,19,7,15,22,860000
2019-12-19 07:15:28.46,9676,100561,66.03,12.42,86,40.8492,112,49.1319,1,10,0.8,-5.3,4.237,0.6808201,0.818865,12,19,7,15,27,780000
2019-12-19 07:16:39.3,9677,100562,73.54,12.43,86,40.848,112,49.13,1,10,0.8,-5.4,4.718,0.6808,0.8188334,12,19,7,16,38,620000
2019-12-19 07:17:01.41,9678,100563,56.48,12.41,86,40.8475,112,49.1301,1,10,0.8,-5.3,3.624,0.6807917,0.818835,12,19,7,17,0,730000
2019-12-19 07:17:07.67,9679,100564,29.52,12.43,86,40.8469,112,49.1477,1,10,0.8,-5.3,1.896,0.6807817,0.8191283,12,19,7,17,6,990000
2019-12-19 07:17:11.99,9680,100565,28.26,12.42,86,40.8466,112,49.1574,1,10,0.8,-5.3,1.816,0.6807766,0.81929,12,19,7,17,11,310000
2019-12-19 07:17:16.61,9681,100566,38.73,12.43,86,40.8461,112,49.1711,1,10,0.8,-5.4,2.487,0.6807683,0.8195183,12,19,7,17,15,920000
2019-12-19 07:17:21.64,9682,100567,42.37,12.42,86,40.8453,112,49.188,1,10,0.8,-5.6,2.72,0.680755,0.8198,12,19,7,17,20,960000
2019-12-19 07:17:30.48,9683,100568,32.99,12.42,86,40.8445,112,49.2079,1,10,0.8,-6,2.118,0.6807417,0.8201317,12,19,7,17,29,800000
2019-12-19 07:17:35.04,9684,100569,36.23,12.41,86,40.8439,112,49.2217,1,10,0.8,-5.9,2.326,0.6807317,0.8203617,12,19,7,17,34,360000
2019-12-19 07:17:39.7,9685,100570,30.94,12.4,86,40.8432,112,49.2377,1,10,0.8,-6,1.987,0.68072,0.8206283,12,19,7,17,39,20000
2019-12-19 07:17:46.64,9686,100571,12.23,12.42,86,40.8421,112,49.2627,1,10,0.8,-6.7,0.788,0.6807016,0.821045,12,19,7,17,45,960000
2019-12-19 07:17:51.12,9687,100572,25.82,12.41,86,40.8415,112,49.2775,1,10,0.8,-6.6,1.659,0.6806917,0.8212917,12,19,7,17,50,440000
2019-12-19 07:17:55.64,9688,100573,35.55,12.41,86,40.841,112,49.2931,1,10,0.8,-6.6,2.282,0.6806833,0.8215516,12,19,7,17,54,960000
2019-12-19 07:18:00.41,9689,100574,30.31,12.41,86,40.8403,112,49.316,1,10,0.8,-6.9,1.947,0.6806717,0.8219334,12,19,7,17,59,730000
2019-12-19 07:18:05.3,9690,100575,23.83,12.41,86,40.8397,112,49.3338,1,10,0.8,-7,1.531,0.6806616,0.8222301,12,19,7,18,4,620000
2019-12-19 07:18:12.12,9691,100576,17.46,12.39,86,40.8387,112,49.3565,1,10,0.8,-7.2,1.123,0.680645,0.8226083,12,19,7,18,11,440000
